Project Name,AI Category,ML Model Used,Location,Year of Beginning,Year Launched,Year of Failure / Success,Outcome,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,Scope,Compliance Level,Daily Data Volume (GB),Original_Cost_Likert_1to7,Original_Estimated_Cost_USD,Original Risk score,New_Cost_Likert_1to7,New_Estimated_Cost_USD,New Risk score,Risk Change,,
IBM Watson for Oncology,AI Healthcare,Watson NLP + ML Ranking,USA,2012,2015,2021,Failed,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Global,Very-High,0.5,4,39797000,3.07,3,7077000,3.15,0.08,,
Meta Celebrity AI Chatbots,AI Chatbots & Conversational AI,LLM (Transformer),USA,2022,2023,2024,Failed,Auto,Assistive,Text,Unstructured,Unstable,High,51,Department,Moderate,0.5,2,3376000,3.99,2,2430000,3.69,-0.3,,
McDonald's AI Drive-Thru,AI Voice Assistants & Speech AI,E2E Neural Speech-to-Intent,USA,2019,2021,2024,Failed,Auto,Automation,Audio,Unstructured,Unstable,Medium,44,Enterprise,High,20,4,41156000,4.33,3,7946000,3.13,-1.2,,
Amazon AI Recruitment Tool,AI Recruitment & HR,Text Classification Model,USA,2014,2014,2017,Failed,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,Proof of Concept,High,0.2,3,5719000,3.11,2,1666000,2.42,-0.69,,
Uber Self-Driving Car,AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,USA,2015,2016,2018,Failed,Indirect,Automation,Image,Unstructured,Unstable,High,336,Multi-site-National,Very-High,4000,6,2.28E+08,4.39,3,19307000,3.69,-0.7,,
Microsoft Tay Chatbot,AI Chatbots & Conversational AI,Neural Conversational Model,USA,2015,2016,2016,Failed,Auto,Assistive,Text,Unstructured,Unstable,Medium,51,Department,Moderate,0.2,2,2132000,3.63,2,2132000,3.13,-0.5,,
Google Duplex,AI Assistants,RNN + TTS + ASR,USA,2017,2018,2018,Successful,Indirect,Automation,Audio,Unstructured,Semi-Stable,High,54,Department,Low,50,4,28641000,4.07,2,3376000,3.48,-0.59,,
Zillow Offers,AI Real Estate & Property Tech,Ensemble Pricing Model,USA,2017,2018,2021,Failed,Auto,Predictive,Numeric,Structured,Unstable,Medium,53,Department,Moderate,1,2,2276000,3.2,2,2096000,2.46,-0.74,,
Grok AI Surveillance,AI Chatbots & Conversational AI,LLM-based Flagging System,USA,2023,2023,2023,Successful,Indirect,Descriptive,Text,Unstructured,Unstable,High,92,Proof of Concept,Very-High,0.5,3,5530000,3.51,2,3376000,3.31,-0.2,,
AI in Energy (GCC),AI Energy Management,Predictive Analytics Platform,GCC,2010,2015,2023,Failed,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,22,Global,Moderate,1,3,8483000,3.05,3,5623000,2.53,-0.52,,
Apple Maps (2012),AI Mapping & Navigation,ML Routing + Place Classification,USA,2010,2012,2012,Successful,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,Enterprise,Low,40,3,5356000,3.63,2,3096000,3.01,-0.62,,
JPMorgan COIN,AI Legal Tech,NLP Document Parsing,USA,2016,2017,2017,Successful,Direct,Automation,Text,Unstructured,Stable,Medium,52,Department,High,0.2,3,11041000,2.96,2,1808000,2.39,-0.57,,
Google Flu Trends,AI Epidemiological Prediction,Nowcasting Regression Model,USA,2008,2008,2013,Failed,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Proof of Concept,Very-High,0.5,2,2061000,2.84,2,2061000,2.36,-0.48,,
Clearview AI,AI Security & Surveillance,CNN Face Embedding + Search,USA,2017,2017,2020,Partial,Direct,Assistive,Image,Unstructured,Unstable,High,56,Proof of Concept,Very-High,250,5,51795000,3.61,3,7197000,3.6,-0.01,,
Facebook Trending Algorithm,AI News & Media,Topic Spike Detection,USA,2013,2014,2018,Failed,Auto,Automation,Text,Unstructured,Unstable,High,51,Department,Moderate,0.5,3,9057000,4.57,2,2430000,3.6,-0.97,,
Tesla Autopilot,AI Autonomous Vehicles & Mobility,HydraNet CNN,USA,2014,2015,2015,Successful,Direct,Assistive,Image,Unstructured,Unstable,High,336,Department,Very-High,4000,5,71969000,3.61,3,10000000,3.6,-0.01,,
NYC MyCity Chatbot (Ed),AI Chatbots & Conversational AI,GPT-based Chatbot,USA,2023,2023,2024,Failed,Auto,Assistive,Text,Unstructured,Unstable,High,92,Proof of Concept,Very-High,0.5,2,4691000,3.99,2,3376000,3.69,-0.3,,
Air Canada Chatbot,AI Chatbots & Conversational AI,FAQ-based NLP Model,Canada,2019,2020,2024,Failed,Auto,Assistive,Text,Unstructured,Unstable,Medium,54,Department,Moderate,0.2,2,2132000,3.63,2,2132000,3.6,-0.03,,
ChatGPT Legal Brief,AI Legal Tech,GPT-3.5,USA,2023,2023,2023,Failed,Auto,Assistive,Text,Unstructured,Unstable,High,54,Proof of Concept,Moderate,0.5,2,2430000,3.99,2,1749000,3.69,-0.3,,
Oracle AI Recruitment Tool,AI Recruitment & HR,Resume Screening ML,USA,2018,2018,2018,Successful,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,Proof of Concept,High,0.2,3,5719000,3.11,2,1666000,2.37,-0.74,,
GM Cruise Robotaxi,AI Autonomous Vehicles & Mobility,Deep CNN + Reinforcement Learning,USA,2016,2022,2023,Failed,Auto,Automation,Image,Unstructured,Unstable,High,336,Multi-site-National,Very-High,4000,5,1.39E+08,4.57,3,19307000,3.6,-0.97,,
Forward (AI CarePods),AI Healthcare,Embedded Diagnostic ML,USA,2017,2023,2024,Failed,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,62,Enterprise,Very-High,1,3,8483000,3.05,3,5623000,2.73,-0.32,,
LAUSD 'Ed' Chatbot,AI Chatbots & Conversational AI,LLM Trained on School Data,USA,2022,2023,2023,Failed,Auto,Assistive,Text,Unstructured,Semi-Stable,Medium,61,Department,Moderate,0.2,2,1534000,3.19,2,1666000,3.01,-0.18,,
Voiceverse NFT (15.ai),AI Voice Assistants & Speech AI,Neural TTS Model,USA,2021,2022,2022,Failed,Auto,Automation,Audio,Unstructured,Semi-Stable,Medium,51,Department,Low,20,3,11041000,3.89,2,2962000,3.48,-0.41,,
Stability AI (Stable Diffusion),AI Generative AI,Latent Diffusion Model,UK,2022,2022,2022,Successful,Auto,Assistive,Image,Unstructured,Semi-Stable,High,51,Proof of Concept,Low,250,3,5179000,3.55,2,2683000,3.31,-0.24,,
Innodata 'GoldenGate',AI Document Processing & Conversion,OCR + Document Parsing ML,USA,2018,2019,2021,Failed,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,Department,Moderate,0.2,2,4116000,3.77,2,2132000,3.4,-0.37,,
Evolv Express Scanner,AI Security & Surveillance,Sensor Fusion + Computer Vision,USA,2013,2019,2019,Successful,Indirect,Assistive,Numeric,Unstructured,Unstable,Medium,56,Enterprise,Moderate,1,3,7197000,3.2,2,2276000,2.52,-0.68,,
Oddity AI (Beauty Matching),AI Recommendation & Personalization,CV for Skin Tone Analysis,Israel/USA,2018,2019,2024,Partial,Auto,Prescriptive,Image,Unstructured,Unstable,Medium,44,Multi-site-National,Low,100,4,26827000,3.77,3,7197000,3.6,-0.17,,
Telus AI Data Solutions,AI Data Annotation & Labeling,Pre-labeling and QA ML,Canada,2020,2021,2024,Partial,Direct,Assistive,Text,Unstructured,Semi-Stable,Medium,54,Department,Moderate,0.2,2,4116000,2.81,2,1666000,2.37,-0.44,,
Apple Siri Assistant,AI Voice Assistants & Speech AI,DNN ASR + Rule-based NLP,USA,2010,2011,2011,Successful,Auto,Assistive,Audio,Unstructured,Stable,Medium,44,Department,Low,20,2,2962000,2.87,2,2314000,2.58,-0.29,,
Amazon Alexa (Election Q&A),AI Voice Assistants & Speech AI,NLU + Knowledge Retrieval,USA,2014,2014,2022,Failed,Auto,Assistive,Text,Unstructured,Unstable,Medium,44,Proof of Concept,Moderate,0.2,2,1534000,3.63,2,1534000,3.13,-0.5,,
Uber Self-Driving Car Crash,AI General AI Application,CNN + Sensor Fusion,USA,2015,2016,2018,Failed,Indirect,Automation,Image,Unstructured,Unstable,High,336,Department,Very-High,250,5,1.18E+08,4.39,3,10000000,3.69,-0.7,,
