Project Name,AI Description,AI Category,ML Model Used,ML Model Description,Primary Function,Failure Cause / Challenge,ROI / Financial Impact,Location,Year of Beginning,Year Launched,Year of Failure / Success,Outcome,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Scope,Compliance Level,Daily Data Volume (GB),,,,,,,,
IBM Watson for Oncology,AI designed to assist in recommending cancer treatments,AI Healthcare,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",Healthcare AI,Biased treatment suggestions,Financial loss and PR hit,USA,2012,2015,2021,Failed,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Health Care and Social Assistance,Global,Very-High,0.5,,,,,,,,
Meta Celebrity AI Chatbots,AI chatbots simulating celebrity personas,AI Chatbots & Conversational AI,LLM (Transformer),"This AI chatbot system is based on large language models (LLMs) using Transformer architecture. The system is trained on a diverse dataset that includes celebrity persona traits and conversational patterns, enabling it to simulate real-time interactions with users as if conversing with their favorite celebrities.",Social AI,"Low engagement, ended project","High celebrity fees, no ROI",USA,2022,2023,2024,Failed,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Department,Moderate,0.5,,,,,,,,
McDonald's AI Drive-Thru,AI voice assistant for drive-thru ordering,AI Voice Assistants & Speech AI,E2E Neural Speech-to-Intent,"This AI system uses an End-to-End (E2E) neural network model for speech-to-intent processing in a drive-thru setting. It takes spoken customer orders and converts them into machine-understandable intent using a deep neural network architecture. The system is trained to handle natural language variations and noise in drive-thru environments, ensuring accurate order interpretation.",Retail AI,Frequent order errors,"Pilot shut down, no ROI",USA,2019,2021,2024,Failed,Auto,Automation,Audio,Unstructured,Unstable,Medium,44,Retail Trade,Enterprise,High,20,,,,,,,,
Amazon AI Recruitment Tool,AI resume screening for hiring,AI Recruitment & HR,Text Classification Model,This AI-driven resume screening tool employs text classification models to parse and analyze resumes. It classifies candidate qualifications into predefined categories based on job requirements. The model is trained on historical hiring data to improve its accuracy in identifying the best candidates for specific job roles.,HR AI,Gender bias in resume screening,Project canceled before launch,USA,2014,2014,2017,Failed,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",Proof of Concept,High,0.2,,,,,,,,
Uber Self-Driving Car,AI self-driving car system,AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Collision led to fatal crash,"Unit sold, legal issues",USA,2015,2016,2018,Failed,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Multi-site-National,Very-High,4000,,,,,,,,
Microsoft Tay Chatbot,AI chatbot learning from Twitter users,AI Chatbots & Conversational AI,Neural Conversational Model,"This AI chatbot uses a neural conversational model based on deep learning techniques. It was trained on a large corpus of conversations, allowing it to engage in real-time interactions with users. The model is capable of understanding context, slang, and variations in speech patterns, but its behavior was affected by inappropriate user interactions.",Social AI,Inappropriate user-trained behavior,Shut down in 24 hours,USA,2015,2016,2016,Failed,Auto,Assistive,Text,Unstructured,Unstable,Medium,51,Information,Department,Moderate,0.2,,,,,,,,
Google Duplex,AI assistant calling businesses,AI Assistants,RNN + TTS + ASR,"Google Duplex combines Recurrent Neural Networks (RNNs) for speech recognition with Text-to-Speech (TTS) and Automatic Speech Recognition (ASR) to interact with humans over the phone in natural, human-like conversations. The system can schedule appointments and carry out tasks autonomously, interacting with businesses in a seamless manner.",Consumer AI,Many failed calls,"Limited rollout, mixed success",USA,2017,2018,2018,Successful,Indirect,Automation,Audio,Unstructured,Semi-Stable,High,54,Retail Trade,Department,Low,50,,,,,,,,
Zillow Offers,AI home-flipping algorithm,AI Real Estate & Property Tech,Ensemble Pricing Model,"Zillow's AI system uses an ensemble of machine learning models to evaluate home prices. The system combines multiple predictive models to estimate the fair market value of a home based on historical data, market trends, and various property attributes. This ensemble approach ensures greater robustness and accuracy in pricing decisions.",Real Estate AI,Massive pricing losses,$500M+ losses,USA,2017,2018,2021,Failed,Auto,Predictive,Numeric,Structured,Unstable,Medium,53,Real Estate and Rental and Leasing,Department,Moderate,1,,,,,,,,
Grok AI Surveillance,AI chatbot for monitoring employee chats,AI Chatbots & Conversational AI,LLM-based Flagging System,"Grok AI uses a large language model (LLM) to analyze employee chat messages and flag potential violations of workplace policies. The system identifies harmful or inappropriate language patterns by processing text data, helping organizations monitor and maintain compliance in digital communications.",Government AI,Privacy concerns,"GDPR scrutiny, legal issues",USA,2023,2023,2023,Successful,Indirect,Descriptive,Text,Unstructured,Unstable,High,92,Public Administration,Proof of Concept,Very-High,0.5,,,,,,,,
AI in Energy (GCC),AI operational optimization in energy,AI Energy Management,Predictive Analytics Platform,"This AI platform employs predictive analytics to optimize operational efficiencies within the energy sector. It analyzes historical performance data and environmental conditions to predict energy consumption patterns, aiding in better resource allocation and cost management.",Energy AI,Poor data and unclear strategy,Costly and low output,GCC,2010,2015,2023,Failed,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,22,Utilities,Global,Moderate,1,,,,,,,,
