ML Model Name,ML Model Description,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),,,,,,
Decision Tree,"A hierarchical, rule-based model for classification+regression. Splits data based on feature values to predict an outcome.",Direct,Predictive,Numeric,Stable,Structured,Low ,,,,,,
Support Vector Machine (SVM),Finds an optimal hyperplane to separate classes in feature space. Used for classification+regression on moderate-sized datasets.,Opaque,Predictive,Numeric,Stable,Structured,Medium ,,,,,,
k-Nearest Neighbors (k-NN),Instance-based method for classification+regression: labels by majority vote (classification) or averaging (regression) of the k closest neighbors.,Indirect,Predictive,Numeric,Semi-Stable,Structured,Low ,,,,,,
Linear Regression,Fits a linear equation to predict a numeric outcome from input variables. Widely used for forecasting and trend analysis.,Direct,Predictive,Numeric,Stable,Structured,Low ,,,,,,
Logistic Regression,"Statistical classifier modeling the probability of a binary outcome via the logistic function. Common for spam detection, churn prediction.",Direct,Predictive,Numeric,Stable,Structured,Low ,,,,,,
Naive Bayes',"Probabilistic classifier assuming feature independence. Often used for text classification (spam filtering, sentiment).",Direct,Predictive,Text,Semi-Stable,Semi-Structured,Low ,,,,,,
Bayesian Network,"Probabilistic graphical model with directed edges, representing conditional dependencies among variables. Used for uncertainty reasoning.",Direct,Descriptive+Predictive,Numeric,Stable,Structured,Medium ,,,,,,
Hidden Markov Model (HMM),"Sequence model assuming a Markov process with hidden states and observable emissions. Used in speech recognition, POS tagging.",Indirect,Predictive,Audio,Semi-Stable,Semi-Structured,Medium ,,,,,,
Conditional Random Field (CRF),"Discriminative structured prediction model for labeling sequences (e.g., named entity recognition). Models conditional probability of label sequences.",Indirect,Predictive,Textual,Semi-Stable,Semi-Structured,High ,,,,,,
Gaussian Mixture Model (GMM),Unsupervised model assuming data is generated from a mixture of Gaussian distributions. Used for clustering and density estimation.,Indirect,Descriptive,Numeric,Semi-Stable,Structured,Medium ,,,,,,
k-Means Clustering,"Partitions data into k clusters by minimizing within-cluster variance. Common for customer segmentation, pattern discovery.",Indirect,Descriptive,Numeric,Stable,Structured,Low ,,,,,,
DBSCAN,"Density-based clustering, groups points in high-density regions while marking sparse points as outliers. Useful for arbitrarily shaped clusters.",Indirect,Descriptive,Numeric+Geospatial,Semi-Stable,Structured,Medium ,,,,,,
Principal Component Analysis (PCA),"Dimensionality reduction by projecting data onto principal components of maximal variance. Used for feature extraction, noise reduction.",Indirect,Descriptive,Numeric,Stable,Structured,Medium ,,,,,,
Random Forest,"Ensemble of decision trees using bagging. Reduces overfitting, commonly used for classification+regression with tabular data.",Indirect,Predictive,Numeric,Stable,Structured,Medium ,,,,,,
