Project Name,AI Description,ML Model Used,ML Model Description,NAICS Code,NAICS Description,Scope,Compliance Cost,Daily Data Volume (GB),Cost_Likert_1to7,Estimated_Cost_USD,Risk Score(Original)
IBM Watson for Oncology,AI designed to assist in recommending cancer treatments,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",62,Health Care and Social Assistance,Global,Very-High,0.5,4,39797000,3.07
Meta Celebrity AI Chatbots,AI chatbots simulating celebrity personas,LLM (Transformer),"This AI chatbot system is based on large language models (LLMs) using Transformer architecture. The system is trained on a diverse dataset that includes celebrity persona traits and conversational patterns, enabling it to simulate real-time interactions with users as if conversing with their favorite celebrities.",51,Information,Department,Moderate,0.5,2,3376000,3.99
McDonald's AI Drive-Thru,AI voice assistant for drive-thru ordering,E2E Neural Speech-to-Intent,"This AI system uses an End-to-End (E2E) neural network model for speech-to-intent processing in a drive-thru setting. It takes spoken customer orders and converts them into machine-understandable intent using a deep neural network architecture. The system is trained to handle natural language variations and noise in drive-thru environments, ensuring accurate order interpretation.",44,Retail Trade,Enterprise,High,20,4,41156000,4.33
Amazon AI Recruitment Tool,AI resume screening for hiring,Text Classification Model,This AI-driven resume screening tool employs text classification models to parse and analyze resumes. It classifies candidate qualifications into predefined categories based on job requirements. The model is trained on historical hiring data to improve its accuracy in identifying the best candidates for specific job roles.,54,"Professional, Scientific, and Technical Services",Proof of Concept,High,0.2,3,5719000,3.11
Uber Self-Driving Car,AI self-driving car system,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",336,Transportation Equipment Manufacturing,Multi-site-National,Very-High,4000,6,2.28E+08,4.39
Microsoft Tay Chatbot,AI chatbot learning from Twitter users,Neural Conversational Model,"This AI chatbot uses a neural conversational model based on deep learning techniques. It was trained on a large corpus of conversations, allowing it to engage in real-time interactions with users. The model is capable of understanding context, slang, and variations in speech patterns, but its behavior was affected by inappropriate user interactions.",51,Information,Department,Moderate,0.2,2,2132000,3.63
Google Duplex,AI assistant calling businesses,RNN + TTS + ASR,"Google Duplex combines Recurrent Neural Networks (RNNs) for speech recognition with Text-to-Speech (TTS) and Automatic Speech Recognition (ASR) to interact with humans over the phone in natural, human-like conversations. The system can schedule appointments and carry out tasks autonomously, interacting with businesses in a seamless manner.",54,Retail Trade,Department,Low,50,4,28641000,4.07
Zillow Offers,AI home-flipping algorithm,Ensemble Pricing Model,"Zillow's AI system uses an ensemble of machine learning models to evaluate home prices. The system combines multiple predictive models to estimate the fair market value of a home based on historical data, market trends, and various property attributes. This ensemble approach ensures greater robustness and accuracy in pricing decisions.",53,Real Estate and Rental and Leasing,Department,Moderate,1,2,2276000,3.2
Grok AI Surveillance,AI chatbot for monitoring employee chats,LLM-based Flagging System,"Grok AI uses a large language model (LLM) to analyze employee chat messages and flag potential violations of workplace policies. The system identifies harmful or inappropriate language patterns by processing text data, helping organizations monitor and maintain compliance in digital communications.",92,Public Administration,Proof of Concept,Very-High,0.5,3,5530000,3.51
AI in Energy (GCC),AI operational optimization in energy,Predictive Analytics Platform,"This AI platform employs predictive analytics to optimize operational efficiencies within the energy sector. It analyzes historical performance data and environmental conditions to predict energy consumption patterns, aiding in better resource allocation and cost management.",22,Utilities,Global,Moderate,1,3,8483000,3.05
