AI Category,ML Model Used,ML Model Description,Primary Function,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Compliance Cost,Daily Data Volume (GB),Scope
AI Healthcare,Embedded Diagnostic ML,"Forward uses an embedded diagnostic machine learning model to analyze real-time patient data from health pods. The system provides immediate diagnostics, suggesting potential health issues and offering personalized recommendations based on the data gathered during a patient's self-assessment.",Healthcare AI,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Education Technology,NLG-based Textbook Generator,This system employs Natural Language Generation (NLG) to automatically generate textbooks or educational materials tailored to different learning styles. The model uses data on learning preferences and knowledge gaps to create content that maximizes student engagement and understanding.,Content AI,Auto,Automation,Text,Unstructured,Unstable,Medium,51,Software Publishers,Moderate,0.2,Department
AI Recommendation & Personalization,CV for Skin Tone Analysis,"Oddity AI uses computer vision (CV) to analyze skin tones and recommend beauty products based on user preferences. The system is trained on a diverse dataset to ensure accurate matching, taking into account various skin tones, textures, and cosmetic needs.",Retail AI,Auto,Prescriptive,Image,Unstructured,Unstable,Medium,44,Retail Trade,High,100,Department
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Generative AI,Generative Design Algorithms,"This AI model applies generative design techniques, allowing computers to create optimized structures or solutions based on specified parameters. The model uses evolutionary algorithms to explore multiple design possibilities and generate the most efficient designs for engineering, architecture, and manufacturing applications.",Generative AI,Indirect,Assistive,Numeric,Structured,Stable,High,51,Information,Moderate,2.5,Department
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Department
AI Security & Surveillance,CV Defect Detection,"This model uses Computer Vision (CV) to detect defects in products or components during manufacturing. By analyzing images or videos of items, the system identifies imperfections and alerts operators in real-time. This system helps improve quality control processes, particularly in high-precision manufacturing environments like automotive and electronics industries.",Security AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,56,Administrative and Support and Waste Management and Remediation Services,Very-High,100,Department
